#      част.  элемент
361.   13     умный
362.   13     таким
363.   13     страх
364.   13     спрашивал
365.   13     смех
366.   13     слушай
367.   13     силе
368.   13     свободно
369.   13     руках
370.   13     разных
371.   13     радостно
372.   13     почему-то
373.   13     понимает
374.   13     полу
375.   13     позвольте
376.   13     поглядывая
377.   13     плечами
378.   13     парохода
379.   13     павловна
380.   13     ног
381.   13     неба
382.   13     навстречу
383.   13     мужики
384.   13     молодой
385.   13     милый
386.   13     места
387.   13     лоб
388.   13     книг
389.   13     иной
390.   13     из-под
391.   13     давай
392.   13     грудью
393.   13     господин
394.   13     говорите
395.   13     где-то
396.   13     внимания
397.   13     взглянула
398.   13     взглянув
399.   13     богу
400.   13     бобров
401.   13     ак
402.   13     а.
403.   12     ясно
404.   12     черной
405.   12     человеком
406.   12     фомка
407.   12     углу
408.   12     труда
409.   12     тревожно
410.   12     тоскливо
411.   12     твоей
412.   12     твое
413.   12     странно
414.   12     старику
415.   12     спину
416.   12     смехом
417.   12     силой
418.   12     серьезно
419.   12     равно
420.   12     понимаешь
421.   12     пойдем
422.   12     поднял
423.   12     отношение
424.   12     отвечал
425.   12     ответа
426.   12     окна
427.   12     небо
428.   12     мальчика
429.   12     маленькая
430.   12     любви
431.   12     ловко
432.   12     лицу
433.   12     костра
434.   12     извините
435.   12     землю
436.   12     званцев
437.   12     замолчал
438.   12     заговорила
439.   12     думаешь
440.   12     другу
441.   12     делу
442.   12     глухо
443.   12     выше
444.   12     вздохнув
445.   12     берега
446.   12     барыня
447.   11     читать
448.   11     чего-то
449.   11     цену
450.   11     фигура
451.   11     улице
452.   11     толстый
453.   11     той
454.   11     темной
455.   11     такого
456.   11     сухо
457.   11     страшно
458.   11     стояла
459.   11     сказано
460.   11     сделали
461.   11     резко
462.   11     разговор
463.   11     радости
464.   11     работу
465.   11     прочь
466.   11     похож
467.   11     поры
468.   11     пойдет
469.   11     поет
470.   11     пальцами
471.   11     огромный
472.   11     ночи
473.   11     нос
474.   11     ногах
475.   11     новое
476.   11     никого
477.   11     нехорошо
478.   11     немножко
479.   11     нашей
480.   11     моей
481.   11     мм
482.   11     мальчику
483.   11     любопытством
484.   11     купцов
485.   11     купца
486.   11     капитан
487.   11     кабы
488.   11     знают
489.   11     жены
490.   11     желания
491.   11     жаль
492.   11     дрожали
493.   11     домой
494.   11     должны
495.   11     дай
496.   11     гордеева
497.   11     голосе
498.   11     годы
499.   11     гляди
500.   11     глазки
501.   11     высокий
502.   11     врешь
503.   11     бывало
504.   11     братцы
505.   11     боюсь
506.   11     берег
507.   11     баржи
508.   11     б
509.   11     анфиса
510.   11     ананий
511.   10     щеки
512.   10     шумом
513.   10     шею
514.   10     хотят
515.   10     улыбнулся
516.   10     укоризненно
517.   10     толпа
518.   10     тела
519.   10     тараса
520.   10     сюда
521.   10     сыну
522.   10     столом
523.   10     сто
524.   10     спиной
525.   10     словах
526.   10     скажут
527.   10     сестра
528.   10     свете
529.   10     ровно
530.   10     рассматривая
531.   10     радостью
532.   10     пристани
533.   10     прежде
534.   10     подрядчик
535.   10     поднялся
536.   10     поди
537.   10     плакал
538.   10     парня
539.   10     отец-то
540.   10     одному
541.   10     одни
542.   10     огромные
543.   10     неужто
544.   10     негромко
545.   10     молчи
546.   10     любил
547.   10     лицах
548.   10     исподлобья
549.   10     искоса
550.   10     звук
551.   10     замуж
552.   10     замечал
553.   10     жадно
554.   10     едва
555.   10     добродушно
556.   10     добавил
557.   10     дико
558.   10     дерево
559.   10     двери
560.   10     громким
561.   10     горячо
562.   10     глухим
563.   10     встала
564.   10     вспоминал
565.   10     волосы
566.   10     видать
567.   10     вздохом
568.   10     ветер
569.   10     бросился
570.   10     а-а
571.   9      шёпотом
572.   9      черными
573.   9      чем-нибудь
574.   9      чего-нибудь
575.   9      часов
576.   9      цепи
577.   9      холодно
578.   9      хозяина
579.   9      хмуро
580.   9      утром
581.   9      умнее
582.   9      уйти
583.   9      тяжелой
584.   9      тело
585.   9      твоего
586.   9      счастье
587.   9      стуле
588.   9      стояли
589.   9      становился
590.   9      согласился
591.   9      совесть
592.   9      совести
593.   9      смотрела
594.   9      смеялся
595.   9      слушая
596.   9      слезами
597.   9      следует
598.   9      скажет
599.   9      сильный
600.   9      сильные
601.   9      силу
602.   9      самовар
603.   9      сада
604.   9      рублей
605.   9      рот
606.   9      реке
607.   9      пусть
608.   9      прощайте
609.   9      прощай
610.   9      прошло
611.   9      пренебрежительно
612.   9      попросил
613.   9      помолчав
614.   9      полный
615.   9      пожалуй
616.   9      песня
617.   9      пальцем
618.   9      палубу
619.   9      падали
620.   9      ответ
621.   9      одним
622.   9      обо
623.   9      обидное
624.   9      обидно
625.   9      носом
626.   9      наталья
627.   9      молчать
628.   9      молчали
629.   9      мол
630.   9      маленькие
631.   9      людях
632.   9      любопытно
633.   9      леса
634.   9      легко
635.   9      кровью
636.   9      крик
637.   9      кратко
638.   9      комнату
639.   9      книги
640.   9      карманы
641.   9      какое
642.   9      издали
643.   9      игнатьич
644.   9      живой
645.   9      женщине
646.   9      жениться
647.   9      дружно
648.   9      голосов
649.   9      газеты
650.   9      высоко
651.   9      выпил
652.   9      всякий
653.   9      вскочил
654.   9      всей
655.   9      возразил
656.   9      внимание
657.   9      взяв
658.   9      вздрагивая
659.   9      бросая
660.   9      богом
661.   9      бить
662.   9      бесшумно
663.   8      эй
664.   8      широкой
665.   8      шёпот
666.   8      читал
667.   8      черная
668.   8      чёрту
669.   8      хорошее
670.   8      ходить
671.   8      хлеб
672.   8      фигуры
673.   8      уши
674.   8      учитель
675.   8      ухтищева
676.   8      уходил
677.   8      ухо
678.   8      усы
679.   8      умею
680.   8      ум
681.   8      улыбка
682.   8      убедительно
683.   8      тьме
684.   8      трое
685.   8      тридцать
686.   8      тошно
687.   8      толку
688.   8      товарищей
689.   8      тише
690.   8      тихий
691.   8      тесно
692.   8      темную
693.   8      темно
694.   8      так-то
695.   8      стакан
696.   8      смотрят
697.   8      смерть
698.   8      слава
699.   8      сзади
700.   8      серьезное
701.   8      серебром
702.   8      сердцем
703.   8      секунду
704.   8      секунд
705.   8      свободы
706.   8      руке
707.   8      решил
708.   8      река
709.   8      разумеется
710.   8      равнодушно
711.   8      работе
712.   8      пьян
713.   8      прошу
714.   8      проговорил
715.   8      пришел
716.   8      придет
717.   8      пошли
718.   8      получил
719.   8      показалось
720.   8      пойду
721.   8      пожалуйте
722.   8      платье
723.   8      письмо
724.   8      петь
725.   8      пароходе
726.   8      одном
727.   8      одинаково
728.   8      общества
729.   8      обиды
730.   8      нравится
731.   8      нравился
732.   8      нравилось
733.   8      неловко
734.   8      некоторые
735.   8      невольно
736.   8      небу
737.   8      напрасно
738.   8      молодости
739.   8      месту
740.   8      кулаком
741.   8      куда-нибудь
742.   8      кресло
743.   8      красивый
744.   8      край
745.   8      которым
746.   8      которое
747.   8      коньяку
748.   8      компания
749.   8      кверху
750.   8      какую-то
751.   8      каким-то
752.   8      какая-то
753.   8      иные
754.   8      играть
755.   8      игнату
756.   8      здорово
757.   8      захотелось
758.   8      задумался
759.   8      живу
760.   8      живи
761.   8      жену
762.   8      ей-богу
763.   8      ежовым
764.   8      ежову
765.   8      дышать
766.   8      думы
767.   8      дни
768.   8      диване
769.   8      детей
770.   8      делах
771.   8      двое
772.   8      дам
773.   8      губернатор
774.   8      гордо
775.   8      голубчик
776.   8      глухой
777.   8      высокая
778.   8      выйдет
779.   8      вскричал
780.   8      вопросительно
781.   8      возглас
782.   8      водку
783.   8      власти
784.   8      видит
785.   8      вздохи
786.   8      взгляды
787.   8      вещи
788.   8      вечером
789.   8      большими
790.   8      большим
791.   8      большая
792.   8      бок
793.   8      блестели
794.   8      блеск
795.   8      билось
796.   8      бил
797.   8      баржу
798.   8      ru
799.   8      royallib
800.   7      якова
801.   7      этак
802.   7      шагами
803.   7      чувствовать
804.   7      человечек
805.   7      хотите
806.   7      хотела
807.   7      ходят
808.   7      училище
809.   7      усмешкой
810.   7      умер
811.   7      улыбки
812.   7      удовольствием
813.   7      угодно
814.   7      тяжестью
815.   7      тяжелым
816.   7      тяжелые
817.   7      тысячи
818.   7      труд
819.   7      тоской
820.   7      тоном
821.   7      тишину
822.   7      тетя
823.   7      счастья
824.   7      страшное
825.   7      страха
826.   7      стороне
827.   7      столько
828.   7      стены
829.   7      старуха
830.   7      слышно
831.   7      случилось
832.   7      следил
833.   7      сладко
834.   7      сказав
835.   7      свобода
836.   7      света
837.   7      сверкали
838.   7      сад
839.   7      ругал
840.   7      родила
841.   7      реку
842.   7      редко
843.   7      раздражением
844.   7      радость
845.   7      работы
846.   7      работал
847.   7      пьяный
848.   7      противно
849.   7      произнес
850.   7      приехал
851.   7      приемщик
852.   7      презрительно
853.   7      право
854.   7      помолчал
855.   7      покорно
856.   7      пойми
857.   7      поднять
858.   7      поднимая
859.   7      подлец
860.   7      поглядим
861.   7      повторил
862.   7      плотно
863.   7      плота
864.   7      песни
865.   7      пальцы
866.   7      отошел
867.   7      одиноко
868.   7      огонь
869.   7      нужны
870.   7      никому
871.   7      николай
872.   7      нечто
873.   7      нечего
874.   7      недовольно
875.   7      недоверчиво
876.   7      нахмурив
877.   7      настоящее
878.   7      нарочно
879.   7      музыка
880.   7      мужика
881.   7      море
882.   7      можете
883.   7      моего
884.   7      милость
885.   7      маякиных
886.   7      махнул
887.   7      махнув
888.   7      матрос
889.   7      маленького
890.   7      лежит
891.   7      лежал
892.   7      легче
893.   7      крови
894.   7      крестным
895.   7      краю
896.   7      компании
897.   7      комнатам
898.   7      колени
899.   7      картуз
900.   7      какое-то
901.   7      казались
902.   7      казалась
903.   7      каждого
904.   7      имеют
905.   7      игнатьевич
906.   7      и.
907.   7      зная
908.   7      злой
909.   7      злобу
910.   7      заявил
911.   7      засмеялась
912.   7      заметил
913.   7      закрыв
914.   7      забыл
915.   7      жили
916.   7      жила
917.   7      живешь
918.   7      желая
919.   7      жалеть
920.   7      дыхание
921.   7      душой
922.   7      духом
923.   7      думаю
924.   7      другого
925.   7      доски
926.   7      дорого
927.   7      диван
928.   7      делом
929.   7      девка
930.   7      движения
931.   7      дал
932.   7      дайте
933.   7      грязи
934.   7      громкий
935.   7      грехи
936.   7      готов
937.   7      гости
938.   7      гостей
939.   7      господь
940.   7      глазками
941.   7      всякому
942.   7      встречал
943.   7      вплоть
944.   7      волосами
945.   7      волны
946.   7      волн
947.   7      возьми
948.   7      возбуждая
949.   7      возбуждала
950.   7      водой
951.   7      висели
952.   7      виду
953.   7      взял
954.   7      вздрагивал
955.   7      верил
956.   7      векселя
957.   7      вашей
958.   7      бьется
959.   7      бутылки
960.   7      брата
961.   7      большого
962.   7      боли
963.   7      благодарю
964.   7      бакенбардами
965.   6      яшка
966.   6      являлся
967.   6      юноша
968.   6      чувствую
969.   6      чувством
970.   6      честь
971.   6      худо
972.   6      ходу
973.   6      хлеба
974.   6      хе
975.   6      фигуру
976.   6      ушла
977.   6      учат
978.   6      успел
979.   6      упорно
980.   6      упал
981.   6      уныло
982.   6      умолк
983.   6      умно
984.   6      умен
985.   6      улицу
986.   6      узнал
987.   6      уезжает
988.   6      удивленный
989.   6      удивлением
990.   6      ударами
991.   6      тятя
992.   6      тяжелое
993.   6      тьму
994.   6      тоска
995.   6      товарищи
996.   6      то-то
997.   6      темных
998.   6      темными
999.   6      темное
1000.  6      телом
1001.  6      твердым
1002.  6      тарасе
1003.  6      такую
1004.  6      сынок
1005.  6      судов
1006.  6      стой
1007.  6      стену
1008.  6      становилось
